seleccion,partidos,prom_anotados,prom_recibidos
New Zealand,11,4.273,0.273
Puerto Rico,28,2.714,1.429
Japan,57,2.614,0.754
Germany,66,2.455,1.152
Belgium,79,2.443,0.886
Spain,83,2.398,0.843
Netherlands,78,2.372,1.0
England,84,2.357,0.69
Portugal,80,2.3,0.825
Haiti,50,2.2,1.18
Iran,52,2.192,0.75
Canada,63,2.175,0.921
Dominican Republic,35,2.171,1.029
Algeria,59,2.169,0.695
United States,65,2.138,0.708
Guatemala,44,2.114,0.977
Guadeloupe,31,2.097,1.194
France,84,2.083,0.845
Norway,61,2.082,1.0
Malaysia,28,2.071,1.357
Russia,38,2.053,1.132
Morocco,68,2.015,0.485
Guyana,34,1.971,1.971
Australia,54,1.963,0.685
South Korea,52,1.962,0.692
Italy,76,1.934,0.908
Qatar,56,1.911,1.089
Uzbekistan,36,1.889,0.722
Turkey,70,1.871,1.229
Denmark,77,1.857,0.87
Saint Martin,20,1.85,1.45
Nicaragua,38,1.816,1.237
Suriname,41,1.805,1.22
Nigeria,70,1.8,0.757
Ivory Coast,61,1.787,0.623
Curaçao,42,1.786,1.0
Austria,69,1.783,1.101
Croatia,81,1.778,1.148
Switzerland,75,1.773,1.173
Jordan,39,1.769,0.641
Panama,76,1.763,1.197
Brazil,63,1.762,0.556
Sint Maarten,22,1.727,2.591
Senegal,73,1.726,0.534
Kyrgyzstan,36,1.722,1.444
Solomon Islands,7,1.714,1.857
Tajikistan,28,1.679,0.964
Syria,36,1.667,1.194
United Arab Emirates,49,1.653,0.918
Sweden,68,1.647,1.235
Argentina,65,1.646,0.692
Barbados,32,1.625,2.031
Egypt,66,1.606,0.606
Bonaire,20,1.6,1.65
Israel,60,1.6,1.75
Mexico,69,1.594,0.696
Serbia,69,1.58,1.217
Poland,76,1.579,1.316
Romania,68,1.574,1.029
Tunisia,67,1.537,0.716
Jamaica,70,1.529,1.129
North Macedonia,68,1.529,1.324
Mali,59,1.525,0.458
Scotland,68,1.515,1.191
Burkina Faso,54,1.5,0.944
Saint Vincent and the Grenadines,32,1.5,2.0
Trinidad and Tobago,46,1.5,1.652
Czech Republic,66,1.485,1.212
China,42,1.476,1.405
Bermuda,38,1.474,2.368
Thailand,30,1.467,1.1
Iraq,47,1.447,0.851
Cameroon,63,1.444,0.794
Wales,66,1.439,1.091
Ukraine,67,1.433,1.284
Indonesia,37,1.432,1.946
Papua New Guinea,7,1.429,1.857
Gambia,47,1.426,1.277
South Africa,54,1.426,0.852
Hungary,66,1.409,1.303
Georgia,64,1.406,1.297
Costa Rica,68,1.397,1.118
Ghana,52,1.385,0.865
Greece,60,1.383,0.917
Kosovo,61,1.377,1.213
French Guiana,24,1.375,1.292
Saudi Arabia,54,1.37,0.815
Kuwait,27,1.37,1.444
Iceland,65,1.354,1.862
Colombia,57,1.351,0.877
Gabon,47,1.34,1.17
New Caledonia,9,1.333,2.0
Saint Kitts and Nevis,35,1.314,1.914
Honduras,61,1.311,1.279
Slovakia,68,1.309,1.191
Philippines,26,1.308,1.615
Bahrain,36,1.306,0.944
Uruguay,59,1.271,0.797
Bosnia and Herzegovina,63,1.27,1.571
Vietnam,38,1.263,1.447
Zambia,42,1.262,1.286
Aruba,28,1.25,2.607
Oman,44,1.25,0.977
Yemen,28,1.25,1.679
Turkmenistan,25,1.24,2.0
Saint Lucia,26,1.231,1.615
Slovenia,66,1.227,1.061
El Salvador,63,1.206,1.048
DR Congo,59,1.203,0.78
Palestine,35,1.2,1.143
Finland,64,1.188,1.219
Armenia,60,1.183,2.067
Lebanon,36,1.167,1.167
Singapore,25,1.16,2.28
Cape Verde,48,1.146,0.854
Mozambique,48,1.146,1.5
Kenya,35,1.143,1.286
Fiji,7,1.143,2.571
Albania,60,1.133,1.1
Grenada,31,1.129,2.032
North Korea,24,1.125,1.75
Sierra Leone,33,1.121,1.303
Bahamas,27,1.111,3.111
Montserrat,31,1.097,1.742
Ecuador,52,1.096,0.923
Guinea,52,1.096,1.019
Cuba,34,1.088,1.971
Madagascar,44,1.068,1.386
Angola,52,1.058,0.827
Equatorial Guinea,53,1.057,1.151
Niger,36,1.056,1.806
Montenegro,58,1.052,1.517
Kazakhstan,63,1.048,1.683
Turks and Caicos Islands,23,1.043,3.304
Martinique,25,1.04,2.0
Dominica,28,1.036,2.036
Luxembourg,57,1.035,1.596
Belize,31,1.032,1.516
Burundi,36,1.028,1.444
Libya,38,1.026,1.421
Tahiti,6,1.0,1.667
Bolivia,48,1.0,2.271
Samoa,5,1.0,3.2
Northern Ireland,57,1.0,1.316
Republic of Ireland,56,0.982,1.107
Guinea-Bissau,50,0.98,1.22
Uganda,46,0.978,0.826
Namibia,46,0.978,1.304
Liberia,37,0.973,1.324
Antigua and Barbuda,32,0.969,2.219
Maldives,19,0.947,2.211
Comoros,42,0.929,1.214
Venezuela,48,0.917,1.521
Hong Kong,28,0.893,1.786
Mauritius,18,0.889,1.722
Myanmar,25,0.88,3.6
Belarus,57,0.877,1.596
Benin,48,0.875,1.104
Central African Republic,39,0.872,1.846
Togo,41,0.854,1.22
Congo,34,0.853,1.735
Paraguay,49,0.837,1.184
Faroe Islands,60,0.833,1.767
Latvia,60,0.833,1.7
India,29,0.828,1.103
Bulgaria,57,0.825,1.702
Cayman Islands,28,0.821,2.393
Zimbabwe,44,0.818,1.205
Timor-Leste,11,0.818,3.182
Sudan,48,0.812,1.25
Ethiopia,42,0.81,1.405
Cyprus,62,0.806,2.032
Taiwan,24,0.792,3.0
Peru,56,0.786,1.268
Estonia,57,0.772,2.193
Chile,50,0.76,1.32
Rwanda,41,0.756,1.098
Afghanistan,24,0.75,1.667
Tanzania,48,0.729,1.083
Brunei,11,0.727,3.182
Azerbaijan,54,0.722,1.852
Moldova,60,0.717,2.05
Malawi,45,0.711,1.289
Cambodia,20,0.7,2.9
São Tomé and Príncipe,30,0.7,2.667
Mauritania,49,0.694,1.245
United States Virgin Islands,26,0.692,2.385
Eswatini,39,0.692,1.846
South Sudan,41,0.683,1.732
Malta,56,0.679,2.179
Lithuania,58,0.672,2.086
British Virgin Islands,26,0.654,2.692
Mongolia,17,0.647,2.176
Guam,14,0.643,2.786
Djibouti,24,0.625,3.0
Sri Lanka,21,0.619,2.143
Bangladesh,26,0.615,2.154
Botswana,38,0.579,1.474
Lesotho,37,0.568,1.378
Chad,30,0.5,1.733
Bhutan,10,0.5,3.1
Somalia,16,0.5,2.062
Nepal,25,0.48,2.68
Gibraltar,56,0.446,3.25
Laos,9,0.444,2.111
Andorra,60,0.433,1.85
Liechtenstein,58,0.328,2.672
Anguilla,26,0.308,3.615
Seychelles,21,0.286,4.238
Macau,7,0.286,1.857
Pakistan,15,0.267,2.6
San Marino,56,0.214,3.536
